Descripción,Valor
Costo Total Camisetas (USD),"$2,500"
Costo Total Campaña de Marketing Enero 2024 (USD),"$3,490"
Ingreso Mínimo Estimado por la Campaña (Q),40000Q
Población Estimada Ciudad de Guatemala,900000
Ingresos Conservador (Q),1080000Q
Ingresos Moderado (Q),1620000Q
Ingresos Optimista (Q),2520000Q
ROI Conservador (%),4026.07%
ROI Moderado (%),6089.11%
ROI Optimista (%),9527.51%
Monto Punto de Equilibrio (Q),1308.75Q
Ingresos Tasa de Participación: 3.0%,972000Q
ROI Tasa de Participación: 3.0%,3613.47%
Ingresos Tasa de Participación: 5.0%,1620000Q
ROI Tasa de Participación: 5.0%,6089.11%
Ingresos Tasa de Participación: 7.0%,2268000Q
ROI Tasa de Participación: 7.0%,8564.76%
Ingresos con Nueva Distribución (Q),1800000Q
ROI con Nueva Distribución (%),6776.79%
